,5,10,15,20
294,-5.03E-13,-1.881E-12,-4.002E-12,-6.798E-12
295,-5.175E-13,-1.936E-12,-4.119E-12,-6.996E-12
296,-5.314E-13,-1.988E-12,-4.23E-12,-7.185E-12
297,-5.444E-13,-2.037E-12,-4.335E-12,-7.364E-12
298,-5.568E-13,-2.084E-12,-4.434E-12,-7.533E-12
299,-5.684E-13,-2.127E-12,-4.528E-12,-7.692E-12
300,-5.792E-13,-2.168E-12,-4.615E-12,-7.841E-12
301,-5.893E-13,-2.206E-12,-4.696E-12,-7.98E-12
302,-5.986E-13,-2.241E-12,-4.771E-12,-8.108E-12
303,-6.071E-13,-2.273E-12,-4.84E-12,-8.226E-12
304,-6.148E-13,-2.302E-12,-4.903E-12,-8.333E-12
305,-6.217E-13,-2.329E-12,-4.959E-12,-8.429E-12
306,-6.278E-13,-2.352E-12,-5.009E-12,-8.515E-12
307,-6.331E-13,-2.372E-12,-5.053E-12,-8.59E-12
308,-6.376E-13,-2.389E-12,-5.09E-12,-8.653E-12
309,-6.412E-13,-2.403E-12,-5.121E-12,-8.706E-12
310,-6.441E-13,-2.414E-12,-5.145E-12,-8.748E-12
311,-6.462E-13,-2.423E-12,-5.163E-12,-8.779E-12
312,-6.475E-13,-2.428E-12,-5.174E-12,-8.8E-12
313,-6.48E-13,-2.43E-12,-5.18E-12,-8.809E-12
314,-6.477E-13,-2.429E-12,-5.179E-12,-8.808E-12
315,-6.466E-13,-2.425E-12,-5.171E-12,-8.796E-12
316,-6.447E-13,-2.419E-12,-5.158E-12,-8.773E-12
317,-6.421E-13,-2.409E-12,-5.138E-12,-8.74E-12
318,-6.387E-13,-2.397E-12,-5.112E-12,-8.697E-12
319,-6.346E-13,-2.382E-12,-5.08E-12,-8.643E-12
320,-6.297E-13,-2.363E-12,-5.042E-12,-8.579E-12
321,-6.241E-13,-2.343E-12,-4.998E-12,-8.505E-12
322,-6.177E-13,-2.319E-12,-4.948E-12,-8.421E-12
323,-6.107E-13,-2.293E-12,-4.893E-12,-8.327E-12
324,-6.029E-13,-2.264E-12,-4.832E-12,-8.224E-12
325,-5.945E-13,-2.233E-12,-4.765E-12,-8.111E-12
326,-5.854E-13,-2.199E-12,-4.693E-12,-7.989E-12
327,-5.756E-13,-2.162E-12,-4.616E-12,-7.858E-12
328,-5.652E-13,-2.124E-12,-4.533E-12,-7.718E-12
329,-5.542E-13,-2.082E-12,-4.446E-12,-7.569E-12
330,-5.425E-13,-2.039E-12,-4.353E-12,-7.412E-12
331,-5.303E-13,-1.993E-12,-4.256E-12,-7.246E-12
332,-5.175E-13,-1.945E-12,-4.154E-12,-7.073E-12
333,-5.041E-13,-1.895E-12,-4.047E-12,-6.892E-12
334,-4.902E-13,-1.843E-12,-3.936E-12,-6.703E-12
335,-4.758E-13,-1.789E-12,-3.821E-12,-6.507E-12
336,-4.608E-13,-1.733E-12,-3.701E-12,-6.304E-12
337,-4.454E-13,-1.675E-12,-3.578E-12,-6.094E-12
338,-4.294E-13,-1.615E-12,-3.45E-12,-5.877E-12
339,-4.131E-13,-1.554E-12,-3.319E-12,-5.654E-12
340,-3.963E-13,-1.49E-12,-3.185E-12,-5.425E-12
341,-3.791E-13,-1.426E-12,-3.047E-12,-5.19E-12
342,-3.614E-13,-1.36E-12,-2.906E-12,-4.95E-12
343,-3.435E-13,-1.292E-12,-2.761E-12,-4.704E-12
344,-3.251E-13,-1.223E-12,-2.614E-12,-4.453E-12
345,-3.064E-13,-1.153E-12,-2.464E-12,-4.198E-12
346,-2.874E-13,-1.081E-12,-2.312E-12,-3.938E-12
347,-2.681E-13,-1.009E-12,-2.157E-12,-3.674E-12
348,-2.486E-13,-9.35E-13,-1.999E-12,-3.407E-12
349,-2.288E-13,-8.61E-13,-1.84E-12,-3.135E-12
350,-2.087E-13,-7.85E-13,-1.679E-12,-2.861E-12
351,-1.884E-13,-7.09E-13,-1.516E-12,-2.583E-12
352,-1.68E-13,-6.32E-13,-1.352E-12,-2.303E-12
353,-1.474E-13,-5.55E-13,-1.186E-12,-2.02E-12
354,-1.266E-13,-4.76E-13,-1.019E-12,-1.736E-12
355,-1.057E-13,-3.98E-13,-8.5E-13,-1.449E-12
356,-8.47E-14,-3.19E-13,-6.81E-13,-1.161E-12
357,-6.36E-14,-2.39E-13,-5.12E-13,-8.72E-13
358,-4.24E-14,-1.6E-13,-3.41E-13,-5.82E-13
359,-2.12E-14,-8E-14,-1.71E-13,-2.91E-13
360,0,0,0,0
