,5,10,15,20
208,2.48E-12,9.83E-12,2.179E-11,3.799E-11
209,2.555E-12,1.012E-11,2.245E-11,3.912E-11
210,2.628E-12,1.041E-11,2.309E-11,4.023E-11
211,2.699E-12,1.07E-11,2.371E-11,4.132E-11
212,2.769E-12,1.097E-11,2.432E-11,4.238E-11
213,2.837E-12,1.124E-11,2.492E-11,4.341E-11
214,2.903E-12,1.15E-11,2.549E-11,4.441E-11
215,2.967E-12,1.175E-11,2.605E-11,4.538E-11
216,3.029E-12,1.2E-11,2.66E-11,4.632E-11
217,3.089E-12,1.224E-11,2.712E-11,4.723E-11
218,3.147E-12,1.246E-11,2.762E-11,4.81E-11
219,3.202E-12,1.268E-11,2.811E-11,4.894E-11
220,3.255E-12,1.289E-11,2.857E-11,4.974E-11
221,3.306E-12,1.309E-11,2.901E-11,5.05E-11
222,3.354E-12,1.328E-11,2.943E-11,5.122E-11
223,3.399E-12,1.346E-11,2.982E-11,5.19E-11
224,3.442E-12,1.363E-11,3.019E-11,5.253E-11
225,3.481E-12,1.378E-11,3.053E-11,5.312E-11
226,3.518E-12,1.393E-11,3.085E-11,5.366E-11
227,3.551E-12,1.406E-11,3.114E-11,5.416E-11
228,3.582E-12,1.418E-11,3.14E-11,5.46E-11
229,3.608E-12,1.428E-11,3.162E-11,5.499E-11
230,3.632E-12,1.438E-11,3.182E-11,5.532E-11
231,3.651E-12,1.445E-11,3.199E-11,5.56E-11
232,3.667E-12,1.451E-11,3.212E-11,5.582E-11
233,3.679E-12,1.456E-11,3.222E-11,5.598E-11
234,3.686E-12,1.459E-11,3.228E-11,5.607E-11
235,3.69E-12,1.46E-11,3.23E-11,5.61E-11
236,3.689E-12,1.459E-11,3.228E-11,5.606E-11
237,3.683E-12,1.457E-11,3.223E-11,5.595E-11
238,3.673E-12,1.453E-11,3.213E-11,5.576E-11
239,3.657E-12,1.446E-11,3.198E-11,5.55E-11
240,3.637E-12,1.438E-11,3.179E-11,5.516E-11
241,3.611E-12,1.428E-11,3.156E-11,5.473E-11
242,3.579E-12,1.415E-11,3.127E-11,5.423E-11
243,3.542E-12,1.4E-11,3.094E-11,5.363E-11
244,3.499E-12,1.383E-11,3.055E-11,5.295E-11
245,3.449E-12,1.363E-11,3.011E-11,5.217E-11
246,3.393E-12,1.341E-11,2.962E-11,5.129E-11
247,3.331E-12,1.316E-11,2.906E-11,5.032E-11
248,3.262E-12,1.289E-11,2.845E-11,4.924E-11
249,3.186E-12,1.259E-11,2.778E-11,4.807E-11
250,3.103E-12,1.226E-11,2.705E-11,4.678E-11
251,3.013E-12,1.19E-11,2.625E-11,4.539E-11
252,2.915E-12,1.151E-11,2.539E-11,4.389E-11
253,2.81E-12,1.109E-11,2.447E-11,4.228E-11
254,2.698E-12,1.065E-11,2.348E-11,4.055E-11
255,2.577E-12,1.017E-11,2.242E-11,3.872E-11
256,2.449E-12,9.67E-12,2.13E-11,3.677E-11
257,2.314E-12,9.13E-12,2.012E-11,3.471E-11
258,2.171E-12,8.56E-12,1.887E-11,3.254E-11
259,2.021E-12,7.97E-12,1.755E-11,3.027E-11
260,1.863E-12,7.35E-12,1.618E-11,2.789E-11
261,1.699E-12,6.7E-12,1.475E-11,2.542E-11
262,1.528E-12,6.03E-12,1.326E-11,2.285E-11
263,1.352E-12,5.33E-12,1.173E-11,2.02E-11
264,1.169E-12,4.61E-12,1.014E-11,1.747E-11
265,9.82E-13,3.87E-12,8.52E-12,1.467E-11
266,7.91E-13,3.12E-12,6.86E-12,1.181E-11
267,5.96E-13,2.35E-12,5.17E-12,8.9E-12
268,3.99E-13,1.57E-12,3.46E-12,5.95E-12
269,2E-13,7.9E-13,1.73E-12,2.98E-12
270,0,0,0,0
271,-2E-13,-7.9E-13,-1.73E-12,-2.98E-12
272,-3.99E-13,-1.57E-12,-3.46E-12,-5.95E-12
273,-5.96E-13,-2.35E-12,-5.17E-12,-8.9E-12
274,-7.91E-13,-3.12E-12,-6.86E-12,-1.181E-11
275,-9.82E-13,-3.87E-12,-8.52E-12,-1.467E-11
276,-1.169E-12,-4.61E-12,-1.014E-11,-1.747E-11
277,-1.352E-12,-5.33E-12,-1.173E-11,-2.02E-11
278,-1.528E-12,-6.03E-12,-1.326E-11,-2.285E-11
279,-1.699E-12,-6.7E-12,-1.475E-11,-2.542E-11
280,-1.863E-12,-7.35E-12,-1.618E-11,-2.789E-11
281,-2.021E-12,-7.97E-12,-1.755E-11,-3.027E-11
282,-2.171E-12,-8.56E-12,-1.887E-11,-3.254E-11
283,-2.314E-12,-9.13E-12,-2.012E-11,-3.471E-11
284,-2.449E-12,-9.67E-12,-2.13E-11,-3.677E-11
285,-2.577E-12,-1.017E-11,-2.242E-11,-3.872E-11
286,-2.698E-12,-1.065E-11,-2.348E-11,-4.055E-11
287,-2.81E-12,-1.109E-11,-2.447E-11,-4.228E-11
288,-2.915E-12,-1.151E-11,-2.539E-11,-4.389E-11
289,-3.013E-12,-1.19E-11,-2.625E-11,-4.539E-11
290,-3.103E-12,-1.226E-11,-2.705E-11,-4.678E-11
291,-3.186E-12,-1.259E-11,-2.778E-11,-4.807E-11
292,-3.262E-12,-1.289E-11,-2.845E-11,-4.924E-11
293,-3.331E-12,-1.316E-11,-2.906E-11,-5.032E-11
294,-3.393E-12,-1.341E-11,-2.962E-11,-5.129E-11
295,-3.449E-12,-1.363E-11,-3.011E-11,-5.217E-11
296,-3.499E-12,-1.383E-11,-3.055E-11,-5.295E-11
297,-3.542E-12,-1.4E-11,-3.094E-11,-5.363E-11
298,-3.579E-12,-1.415E-11,-3.127E-11,-5.423E-11
299,-3.611E-12,-1.428E-11,-3.156E-11,-5.473E-11
300,-3.637E-12,-1.438E-11,-3.179E-11,-5.516E-11
301,-3.657E-12,-1.446E-11,-3.198E-11,-5.55E-11
302,-3.673E-12,-1.453E-11,-3.213E-11,-5.576E-11
303,-3.683E-12,-1.457E-11,-3.223E-11,-5.595E-11
304,-3.689E-12,-1.459E-11,-3.228E-11,-5.606E-11
305,-3.69E-12,-1.46E-11,-3.23E-11,-5.61E-11
306,-3.686E-12,-1.459E-11,-3.228E-11,-5.607E-11
307,-3.679E-12,-1.456E-11,-3.222E-11,-5.598E-11
308,-3.667E-12,-1.451E-11,-3.212E-11,-5.582E-11
309,-3.651E-12,-1.445E-11,-3.199E-11,-5.56E-11
310,-3.632E-12,-1.438E-11,-3.182E-11,-5.532E-11
311,-3.608E-12,-1.428E-11,-3.162E-11,-5.499E-11
312,-3.582E-12,-1.418E-11,-3.14E-11,-5.46E-11
313,-3.551E-12,-1.406E-11,-3.114E-11,-5.416E-11
314,-3.518E-12,-1.393E-11,-3.085E-11,-5.366E-11
315,-3.481E-12,-1.378E-11,-3.053E-11,-5.312E-11
316,-3.442E-12,-1.363E-11,-3.019E-11,-5.253E-11
317,-3.399E-12,-1.346E-11,-2.982E-11,-5.19E-11
318,-3.354E-12,-1.328E-11,-2.943E-11,-5.122E-11
319,-3.306E-12,-1.309E-11,-2.901E-11,-5.05E-11
320,-3.255E-12,-1.289E-11,-2.857E-11,-4.974E-11
321,-3.202E-12,-1.268E-11,-2.811E-11,-4.894E-11
322,-3.147E-12,-1.246E-11,-2.762E-11,-4.81E-11
323,-3.089E-12,-1.224E-11,-2.712E-11,-4.723E-11
324,-3.029E-12,-1.2E-11,-2.66E-11,-4.632E-11
325,-2.967E-12,-1.175E-11,-2.605E-11,-4.538E-11
326,-2.903E-12,-1.15E-11,-2.549E-11,-4.441E-11
327,-2.837E-12,-1.124E-11,-2.492E-11,-4.341E-11
328,-2.769E-12,-1.097E-11,-2.432E-11,-4.238E-11
329,-2.699E-12,-1.07E-11,-2.371E-11,-4.132E-11
330,-2.628E-12,-1.041E-11,-2.309E-11,-4.023E-11
331,-2.555E-12,-1.012E-11,-2.245E-11,-3.912E-11
332,-2.48E-12,-9.83E-12,-2.179E-11,-3.799E-11
333,-2.404E-12,-9.53E-12,-2.113E-11,-3.683E-11
334,-2.327E-12,-9.22E-12,-2.045E-11,-3.564E-11
335,-2.248E-12,-8.91E-12,-1.976E-11,-3.444E-11
336,-2.168E-12,-8.59E-12,-1.905E-11,-3.322E-11
337,-2.086E-12,-8.27E-12,-1.834E-11,-3.197E-11
338,-2.004E-12,-7.94E-12,-1.761E-11,-3.071E-11
339,-1.92E-12,-7.61E-12,-1.688E-11,-2.943E-11
340,-1.835E-12,-7.27E-12,-1.613E-11,-2.813E-11
341,-1.75E-12,-6.93E-12,-1.538E-11,-2.682E-11
342,-1.663E-12,-6.59E-12,-1.462E-11,-2.549E-11
343,-1.575E-12,-6.24E-12,-1.385E-11,-2.415E-11
344,-1.487E-12,-5.89E-12,-1.307E-11,-2.28E-11
345,-1.398E-12,-5.54E-12,-1.229E-11,-2.143E-11
346,-1.308E-12,-5.18E-12,-1.15E-11,-2.006E-11
347,-1.217E-12,-4.82E-12,-1.07E-11,-1.867E-11
348,-1.126E-12,-4.46E-12,-9.9E-12,-1.727E-11
349,-1.034E-12,-4.1E-12,-9.09E-12,-1.586E-11
350,-9.42E-13,-3.73E-12,-8.28E-12,-1.444E-11
351,-8.49E-13,-3.36E-12,-7.46E-12,-1.302E-11
352,-7.56E-13,-3E-12,-6.64E-12,-1.159E-11
353,-6.62E-13,-2.62E-12,-5.82E-12,-1.016E-11
354,-5.68E-13,-2.25E-12,-5E-12,-8.71E-12
355,-4.74E-13,-1.88E-12,-4.17E-12,-7.27E-12
356,-3.79E-13,-1.5E-12,-3.34E-12,-5.82E-12
357,-2.85E-13,-1.13E-12,-2.5E-12,-4.37E-12
358,-1.9E-13,-7.5E-13,-1.67E-12,-2.91E-12
359,-9.5E-14,-3.8E-13,-8.4E-13,-1.46E-12
360,0,0,0,0
